bt_date,n_players,field_hit1_rate,field_hit2_rate,field_avg_actual,n_field,top_5_hit1_rate,top_5_hit2_rate,top_5_avg_actual,top_5_lift_hit1,top_5_lift_hit2,top_5_lift_avg,top_10_hit1_rate,top_10_hit2_rate,top_10_avg_actual,top_10_lift_hit1,top_10_lift_hit2,top_10_lift_avg,top_20_hit1_rate,top_20_hit2_rate,top_20_avg_actual,top_20_lift_hit1,top_20_lift_hit2,top_20_lift_avg,v1_top_5_hit1_rate,v1_top_5_hit2_rate,v1_top_5_avg_actual,v1_top_5_lift_hit1,v1_top_5_lift_hit2,v1_top_5_lift_avg,v1_top_10_hit1_rate,v1_top_10_hit2_rate,v1_top_10_avg_actual,v1_top_10_lift_hit1,v1_top_10_lift_hit2,v1_top_10_lift_avg,v1_top_20_hit1_rate,v1_top_20_hit2_rate,v1_top_20_avg_actual,v1_top_20_lift_hit1,v1_top_20_lift_hit2,v1_top_20_lift_avg,std_top_5_hit1_rate,std_top_5_hit2_rate,std_top_5_avg_actual,std_top_5_lift_hit1,std_top_5_lift_hit2,std_top_5_lift_avg,std_top_10_hit1_rate,std_top_10_hit2_rate,std_top_10_avg_actual,std_top_10_lift_hit1,std_top_10_lift_hit2,std_top_10_lift_avg,std_top_20_hit1_rate,std_top_20_hit2_rate,std_top_20_avg_actual,std_top_20_lift_hit1,std_top_20_lift_hit2,std_top_20_lift_avg,bkt_rare_pct_field,bkt_rare_pct_top10,bkt_rare_hit1_rate,bkt_occasional_pct_field,bkt_occasional_pct_top10,bkt_occasional_hit1_rate,bkt_star_pct_field,bkt_star_pct_top10,bkt_star_hit1_rate,calibration_80,mae,spearman_elfies_v2,spearman_elfies_v1,spearman_elfies_standout,bkt_reliable_pct_field,bkt_reliable_pct_top10,bkt_reliable_hit1_rate
2025-11-17,273,0.3114,0.0659,0.3846,273,0.8,0.4,1.4,2.5694,6.0667,3.64,0.7,0.3,1.1,2.2482,4.55,2.86,0.7,0.25,1.0,2.2482,3.7917,2.6,0.6,0.4,1.2,1.9271,6.0667,3.12,0.7,0.3,1.1,2.2482,4.55,2.86,0.65,0.35,1.1,2.0876,5.3083,2.86,0.4,0.4,0.8,1.2847,6.0667,2.08,0.5,0.2,0.7,1.6059,3.0333,1.82,0.4,0.15,0.55,1.2847,2.275,1.43,0.542,0.0,0.2095,0.253,0.0,0.3623,0.088,0.9,0.5417,0.8168,0.4209,0.2966,0.2948,0.1386,0.117,0.1,0.5
2025-11-18,363,0.2617,0.0606,0.3361,363,0.6,0.4,1.0,2.2926,6.6,2.9754,0.7,0.4,1.1,2.6747,6.6,3.273,0.5,0.25,0.75,1.9105,4.125,2.2316,1.0,0.6,1.6,3.8211,9.9,4.7607,0.8,0.4,1.2,3.0568,6.6,3.5705,0.5,0.2,0.7,1.9105,3.3,2.0828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.15,0.5732,0.0,0.4463,0.556,0.0,0.1584,0.234,0.0,0.3529,0.099,0.9,0.5556,0.8595,0.3936,0.3586,0.3544,0.1446,0.11,0.1,0.325
2025-11-19,183,0.3333,0.1202,0.4699,183,1.0,0.4,1.6,3.0,3.3273,3.4047,0.7,0.2,1.0,2.1,1.6636,2.1279,0.6,0.2,0.85,1.8,1.6636,1.8087,0.8,0.2,1.0,2.4,1.6636,2.1279,0.8,0.3,1.2,2.4,2.4955,2.5535,0.6,0.25,0.9,1.8,2.0795,1.9151,0.2,0.0,0.2,0.6,0.0,0.4256,0.2,0.0,0.2,0.6,0.0,0.4256,0.2,0.05,0.25,0.6,0.4159,0.532,0.552,0.0,0.1584,0.24,0.2,0.4545,0.077,0.4,0.8571,0.7923,0.4631,0.4405,0.4125,0.0666,0.131,0.4,0.5417
2025-11-20,540,0.2481,0.0611,0.3333,540,0.4,0.2,0.6,1.6119,3.2727,1.8,0.6,0.1,0.7,2.4179,1.6364,2.1,0.5,0.05,0.55,2.0149,0.8182,1.65,0.6,0.0,0.6,2.4179,0.0,1.8,0.5,0.1,0.6,2.0149,1.6364,1.8,0.45,0.05,0.5,1.8134,0.8182,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.806,0.0,0.6,0.2,0.05,0.25,0.806,0.8182,0.75,0.543,0.0,0.1502,0.224,0.0,0.3058,0.096,0.9,0.5,0.8241,0.4847,0.233,0.219,0.0667,0.137,0.1,0.3649
2025-11-21,181,0.2762,0.1215,0.4199,181,0.8,0.2,1.0,2.896,1.6455,2.3816,0.6,0.2,0.8,2.172,1.6455,1.9053,0.6,0.2,0.8,2.172,1.6455,1.9053,0.8,0.2,1.0,2.896,1.6455,2.3816,0.8,0.3,1.1,2.896,2.4682,2.6197,0.6,0.25,0.85,2.172,2.0568,2.0243,0.4,0.4,0.8,1.448,3.2909,1.9053,0.3,0.2,0.5,1.086,1.6455,1.1908,0.2,0.1,0.3,0.724,0.8227,0.7145,0.569,0.0,0.165,0.238,0.2,0.3023,0.066,0.6,0.8333,0.8564,0.5004,0.3386,0.3308,0.0301,0.127,0.2,0.4348
2025-11-22,542,0.2749,0.0627,0.3524,542,0.4,0.2,0.6,1.455,3.1882,1.7026,0.5,0.1,0.6,1.8188,1.5941,1.7026,0.65,0.1,0.75,2.3644,1.5941,2.1283,0.6,0.2,0.8,2.1826,3.1882,2.2702,0.5,0.1,0.6,1.8188,1.5941,1.7026,0.65,0.05,0.7,2.3644,0.7971,1.9864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.05,0.1819,0.0,0.1419,0.555,0.0,0.1561,0.22,0.0,0.2941,0.077,0.6,0.6429,0.8561,0.4361,0.3328,0.3184,0.1025,0.148,0.4,0.5
2025-11-23,275,0.16,0.0218,0.1855,275,0.6,0.0,0.6,3.75,0.0,3.2353,0.7,0.2,0.9,4.375,9.1667,4.8529,0.45,0.1,0.55,2.8125,4.5833,2.9657,0.4,0.0,0.4,2.5,0.0,2.1569,0.6,0.2,0.8,3.75,9.1667,4.3137,0.45,0.1,0.55,2.8125,4.5833,2.9657,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2,1.25,0.0,1.0784,0.25,0.0,0.25,1.5625,0.0,1.348,0.509,0.0,0.0857,0.24,0.2,0.2121,0.08,0.4,0.4091,0.8982,0.395,0.3368,0.3329,0.1847,0.171,0.4,0.1915
2025-11-24,313,0.262,0.0735,0.361,313,0.6,0.2,1.0,2.2902,2.7217,2.7699,0.7,0.3,1.1,2.672,4.0826,3.0469,0.55,0.35,1.0,2.0994,4.763,2.7699,0.8,0.2,1.2,3.0537,2.7217,3.3239,0.7,0.4,1.2,2.672,5.4435,3.3239,0.65,0.4,1.15,2.4811,5.4435,3.1854,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.7634,0.0,0.554,0.15,0.0,0.15,0.5726,0.0,0.4155,0.527,0.0,0.1455,0.265,0.2,0.3614,0.086,0.6,0.4815,0.8339,0.4521,0.268,0.2579,0.052,0.121,0.2,0.3947
2025-11-25,45,0.4889,0.1556,0.7111,45,1.0,0.2,1.4,2.0455,1.2857,1.9687,0.8,0.2,1.1,1.6364,1.2857,1.5469,0.55,0.1,0.7,1.125,0.6429,0.9844,1.0,0.2,1.4,2.0455,1.2857,1.9687,0.8,0.2,1.1,1.6364,1.2857,1.5469,0.6,0.15,0.8,1.2273,0.9643,1.125,0.4,0.0,0.4,0.8182,0.0,0.5625,0.4,0.0,0.4,0.8182,0.0,0.5625,0.55,0.1,0.65,1.125,0.6429,0.9141,0.444,0.0,0.35,0.311,0.2,0.5,0.111,0.4,0.8,0.7111,0.6805,0.2697,0.2888,0.0981,0.133,0.4,0.6667
2025-11-26,682,0.2933,0.066,0.371,682,0.4,0.4,0.8,1.364,6.0622,2.1565,0.4,0.3,0.7,1.364,4.5467,1.887,0.45,0.25,0.75,1.5345,3.7889,2.0217,0.4,0.2,0.6,1.364,3.0311,1.6174,0.5,0.3,0.8,1.705,4.5467,2.1565,0.45,0.25,0.75,1.5345,3.7889,2.0217,0.2,0.0,0.2,0.682,0.0,0.5391,0.2,0.0,0.2,0.682,0.0,0.5391,0.15,0.0,0.15,0.5115,0.0,0.4043,0.538,0.0,0.1553,0.239,0.2,0.3804,0.075,0.6,0.5686,0.8021,0.4414,0.2934,0.2833,0.1246,0.148,0.2,0.5149
