bt_date,n_players,spearman_elfies_v1,spearman_elfies_v1_pval,spearman_elfies_v2,spearman_elfies_v2_pval,spearman_elfies_v3,spearman_elfies_v3_pval,spearman_elfies_v4,spearman_elfies_v4_pval,spearman_elfies_standout,spearman_elfies_standout_pval,hit1_at_07,n_hit1_at_07,hit2_at_15,n_hit2_at_15,calibration_80,mae
2025-11-26,682,0.2804,0.0,0.2936,0.0,0.1619,0.0,0.2804,0.0,0.1004,0.0087,0.5,4,,0,0.8226,0.4402
2025-11-28,681,0.3117,0.0,0.3238,0.0,0.152,0.0001,0.3117,0.0,0.0639,0.0959,0.25,4,,0,0.8267,0.4477
2025-11-29,500,0.327,0.0,0.3346,0.0,0.2546,0.0,0.327,0.0,0.0252,0.5739,,0,,0,0.864,0.4274
2025-11-30,182,0.3407,0.0,0.3453,0.0,0.2727,0.0002,0.3407,0.0,0.0551,0.4602,,0,,0,0.9066,0.4745
2025-12-01,226,0.3524,0.0,0.3638,0.0,0.2496,0.0001,0.3524,0.0,0.1684,0.0112,1.0,3,,0,0.7965,0.4188
2025-12-03,180,0.256,0.0005,0.2696,0.0003,0.1375,0.0656,0.256,0.0005,0.0726,0.3325,1.0,1,,0,0.7722,0.4929
2025-12-04,540,0.2289,0.0,0.2413,0.0,0.1665,0.0001,0.2289,0.0,0.0859,0.046,0.6,5,,0,0.813,0.4718
2025-12-05,120,0.1608,0.0793,0.1698,0.0637,0.0771,0.4025,0.1608,0.0793,0.0261,0.7775,1.0,1,,0,0.85,0.4345
2025-12-06,59,0.2887,0.0266,0.2944,0.0236,0.2523,0.0539,0.2887,0.0266,0.0262,0.844,,0,,0,0.8305,0.4879
2025-12-10,46,-0.063,0.6772,-0.0467,0.7581,-0.1427,0.3442,-0.063,0.6772,-0.2024,0.1773,,0,,0,0.9565,0.3484
2025-12-11,183,-0.0439,0.5553,-0.0227,0.7599,-0.0245,0.7418,-0.0439,0.5553,-0.178,0.0159,0.25,4,,0,0.7596,0.5835
2025-12-12,89,0.0895,0.4041,0.097,0.366,0.0564,0.5996,0.0895,0.4041,0.0098,0.9273,,0,,0,0.8315,0.5001
2025-12-13,585,0.1932,0.0,0.1951,0.0,0.1122,0.0066,0.1932,0.0,-0.0043,0.9164,1.0,1,,0,0.8188,0.4813
2025-12-14,275,0.2295,0.0001,0.2489,0.0,0.1396,0.0206,0.2295,0.0001,-0.0268,0.6586,0.3333,3,,0,0.8764,0.4765
2025-12-15,224,0.2231,0.0008,0.2336,0.0004,0.1531,0.0219,0.2231,0.0008,0.0557,0.4069,0.0,1,,0,0.8125,0.4476
2025-12-16,454,0.3268,0.0,0.3409,0.0,0.1565,0.0008,0.3268,0.0,0.1274,0.0066,1.0,2,,0,0.8458,0.4334
2025-12-17,224,0.1634,0.0144,0.1883,0.0047,0.1834,0.0059,0.1634,0.0144,-0.0136,0.8393,,0,,0,0.9062,0.3593
2025-12-18,453,0.2495,0.0,0.2591,0.0,0.1376,0.0033,0.2495,0.0,0.0365,0.4378,1.0,3,,0,0.8455,0.4337
2025-12-19,226,0.3518,0.0,0.3554,0.0,0.242,0.0002,0.3518,0.0,0.1678,0.0115,1.0,1,,0,0.854,0.4114
2025-12-20,587,0.2839,0.0,0.2882,0.0,0.2108,0.0,0.2839,0.0,0.1782,0.0,1.0,1,,0,0.7615,0.4654
2025-12-21,410,0.289,0.0,0.3034,0.0,0.1532,0.0019,0.289,0.0,0.0298,0.5477,0.6667,3,,0,0.8488,0.4775
2025-12-22,176,0.1912,0.011,0.205,0.0063,0.0561,0.4596,0.1912,0.011,0.0538,0.4783,1.0,1,,0,0.875,0.4988
2025-12-23,592,0.2909,0.0,0.2988,0.0,0.236,0.0,0.2909,0.0,0.0514,0.2118,0.3333,3,,0,0.853,0.4732
2025-12-27,591,0.2917,0.0,0.2931,0.0,0.1483,0.0003,0.2917,0.0,0.0687,0.0952,0.4,5,,0,0.8274,0.4803
2025-12-28,230,0.2841,0.0,0.2962,0.0,0.1761,0.0074,0.2841,0.0,0.107,0.1056,1.0,1,,0,0.813,0.4809
2025-12-29,494,0.263,0.0,0.2756,0.0,0.1158,0.01,0.263,0.0,0.0721,0.1094,0.75,4,,0,0.8381,0.4682
2025-12-30,227,0.2292,0.0005,0.2388,0.0003,0.2249,0.0006,0.2292,0.0005,0.018,0.7878,1.0,1,,0,0.8678,0.4692
2025-12-31,449,0.221,0.0,0.2265,0.0,0.0946,0.0452,0.221,0.0,0.0501,0.289,1.0,2,,0,0.8241,0.4864
2026-01-01,363,0.3111,0.0,0.3304,0.0,0.2626,0.0,0.3111,0.0,0.0639,0.2248,1.0,1,,0,0.7769,0.513
2026-01-02,136,0.3284,0.0001,0.3283,0.0001,0.2253,0.0084,0.3284,0.0001,0.085,0.3251,1.0,1,,0,0.8529,0.494
2026-01-03,274,0.136,0.0243,0.1481,0.0142,0.0734,0.2257,0.136,0.0243,-0.0372,0.5394,0.0,1,,0,0.8321,0.4875
