bt_date,n_players,field_hit1_rate,field_hit2_rate,field_avg_actual,n_field,top_5_hit1_rate,top_5_hit2_rate,top_5_avg_actual,top_5_lift_hit1,top_5_lift_hit2,top_5_lift_avg,top_10_hit1_rate,top_10_hit2_rate,top_10_avg_actual,top_10_lift_hit1,top_10_lift_hit2,top_10_lift_avg,top_20_hit1_rate,top_20_hit2_rate,top_20_avg_actual,top_20_lift_hit1,top_20_lift_hit2,top_20_lift_avg,calibration_80,mae,spearman_elfies_v2,spearman_elfies_v1,spearman_elfies_standout
2025-11-04,246,0.248,0.061,0.3171,246,0.4,0.2,0.6,1.6131,3.28,1.8923,0.5,0.1,0.6,2.0164,1.64,1.8923,0.55,0.1,0.65,2.218,1.64,2.05,0.8699,0.3854,0.3602,0.3444,0.1536
2025-11-05,123,0.1545,0.0407,0.2033,123,0.6,0.0,0.6,3.8842,0.0,2.952,0.4,0.0,0.4,2.5895,0.0,1.968,0.35,0.0,0.35,2.2658,0.0,1.722,0.9106,0.2562,0.2774,0.2769,0.1128
2025-11-10,727,0.293,0.088,0.403,727,1.0,0.2,1.4,3.4131,2.2719,3.4737,0.8,0.2,1.1,2.7305,2.2719,2.7294,0.55,0.15,0.75,1.8772,1.7039,1.8609,0.8239,0.4981,0.2626,0.2564,0.0586
2025-11-11,409,0.2494,0.0465,0.3081,409,0.6,0.2,0.8,2.4059,4.3053,2.5968,0.6,0.2,0.9,2.4059,4.3053,2.9214,0.5,0.1,0.65,2.0049,2.1526,2.1099,0.8606,0.4997,0.2367,0.2327,-0.018
2025-11-12,588,0.3078,0.102,0.4456,588,0.8,0.4,1.6,2.5989,3.92,3.5908,0.7,0.2,1.1,2.274,1.96,2.4687,0.6,0.2,0.9,1.9492,1.96,2.0198,0.8027,0.5196,0.2757,0.2822,0.0365
2025-11-13,453,0.3377,0.0927,0.4592,453,1.0,0.6,1.6,2.9608,6.4714,3.4846,0.8,0.5,1.5,2.3686,5.3929,3.2668,0.8,0.35,1.3,2.3686,3.775,2.8312,0.8278,0.4987,0.3045,0.2951,0.0726
2025-11-14,182,0.2363,0.0659,0.3352,182,0.2,0.0,0.2,0.8465,0.0,0.5967,0.5,0.0,0.5,2.1163,0.0,1.4918,0.4,0.0,0.4,1.693,0.0,1.1934,0.8626,0.4814,0.2944,0.2891,0.0426
2025-11-15,590,0.2288,0.0441,0.2831,590,0.8,0.4,1.4,3.4963,9.0769,4.9461,0.7,0.3,1.1,3.0593,6.8077,3.8862,0.7,0.25,1.05,3.0593,5.6731,3.7096,0.8644,0.4608,0.3185,0.3151,0.1116
2025-11-16,226,0.2566,0.031,0.2965,226,0.6,0.2,0.8,2.3379,6.4571,2.6985,0.6,0.1,0.7,2.3379,3.2286,2.3612,0.6,0.1,0.7,2.3379,3.2286,2.3612,0.8805,0.3752,0.3598,0.3425,0.0817
2025-11-17,273,0.3114,0.0659,0.3846,273,0.8,0.4,1.4,2.5694,6.0667,3.64,0.7,0.3,1.1,2.2482,4.55,2.86,0.55,0.25,0.85,1.7665,3.7917,2.21,0.8242,0.4194,0.3001,0.2995,0.1641
2025-11-18,363,0.2617,0.0606,0.3361,363,0.4,0.2,0.6,1.5284,3.3,1.7852,0.5,0.3,0.8,1.9105,4.95,2.3803,0.5,0.3,0.8,1.9105,4.95,2.3803,0.8567,0.3892,0.3661,0.3537,0.1199
2025-11-19,183,0.3333,0.1202,0.4699,183,1.0,0.4,1.6,3.0,3.3273,3.4047,0.8,0.3,1.2,2.4,2.4955,2.5535,0.7,0.3,1.05,2.1,2.4955,2.2343,0.8087,0.4708,0.3951,0.383,0.0211
2025-11-20,540,0.2481,0.0611,0.3333,540,0.4,0.0,0.4,1.6119,0.0,1.2,0.4,0.0,0.4,1.6119,0.0,1.2,0.45,0.05,0.5,1.8134,0.8182,1.5,0.8333,0.4797,0.2478,0.2309,0.0329
2025-11-21,181,0.2762,0.1215,0.4199,181,0.6,0.0,0.6,2.172,0.0,1.4289,0.6,0.2,0.8,2.172,1.6455,1.9053,0.55,0.25,0.85,1.991,2.0568,2.0243,0.8287,0.5105,0.3162,0.3055,0.0404
