bt_date,n_players,field_hit1_rate,field_hit2_rate,field_avg_actual,n_field,top_5_hit1_rate,top_5_hit2_rate,top_5_avg_actual,top_5_lift_hit1,top_5_lift_hit2,top_5_lift_avg,top_10_hit1_rate,top_10_hit2_rate,top_10_avg_actual,top_10_lift_hit1,top_10_lift_hit2,top_10_lift_avg,top_20_hit1_rate,top_20_hit2_rate,top_20_avg_actual,top_20_lift_hit1,top_20_lift_hit2,top_20_lift_avg,v1_top_5_hit1_rate,v1_top_5_hit2_rate,v1_top_5_avg_actual,v1_top_5_lift_hit1,v1_top_5_lift_hit2,v1_top_5_lift_avg,v1_top_10_hit1_rate,v1_top_10_hit2_rate,v1_top_10_avg_actual,v1_top_10_lift_hit1,v1_top_10_lift_hit2,v1_top_10_lift_avg,v1_top_20_hit1_rate,v1_top_20_hit2_rate,v1_top_20_avg_actual,v1_top_20_lift_hit1,v1_top_20_lift_hit2,v1_top_20_lift_avg,std_top_5_hit1_rate,std_top_5_hit2_rate,std_top_5_avg_actual,std_top_5_lift_hit1,std_top_5_lift_hit2,std_top_5_lift_avg,std_top_10_hit1_rate,std_top_10_hit2_rate,std_top_10_avg_actual,std_top_10_lift_hit1,std_top_10_lift_hit2,std_top_10_lift_avg,std_top_20_hit1_rate,std_top_20_hit2_rate,std_top_20_avg_actual,std_top_20_lift_hit1,std_top_20_lift_hit2,std_top_20_lift_avg,bkt_rare_pct_field,bkt_rare_pct_top10,bkt_rare_hit1_rate,bkt_occasional_pct_field,bkt_occasional_pct_top10,bkt_occasional_hit1_rate,bkt_star_pct_field,bkt_star_pct_top10,bkt_star_hit1_rate,calibration_80,mae,spearman_elfies_v2,spearman_elfies_v1,spearman_elfies_standout,bkt_reliable_pct_field,bkt_reliable_pct_top10,bkt_reliable_hit1_rate
2025-10-22,136,0.2574,0.0221,0.2868,136,0.8,0.0,0.8,3.1086,0.0,2.7897,0.8,0.0,0.8,3.1086,0.0,2.7897,0.6,0.0,0.6,2.3314,0.0,2.0923,0.6,0.0,0.6,2.3314,0.0,2.0923,0.7,0.0,0.7,2.72,0.0,2.441,0.65,0.0,0.65,2.5257,0.0,2.2667,0.4,0.0,0.4,1.5543,0.0,1.3949,0.3,0.0,0.3,1.1657,0.0,1.0462,0.3,0.0,0.3,1.1657,0.0,1.0462,0.588,0.0,0.1625,0.154,0.0,0.1905,0.103,0.5,0.5714,0.9118,0.3745,0.4042,0.3902,0.1271,0.154,0.5,0.4762
2025-10-23,541,0.3161,0.1035,0.4603,541,0.4,0.4,1.0,1.2655,3.8643,2.1727,0.5,0.4,1.0,1.5819,3.8643,2.1727,0.6,0.45,1.2,1.8982,4.3473,2.6072,0.6,0.6,1.4,1.8982,5.7964,3.0418,0.7,0.5,1.3,2.2146,4.8304,2.8245,0.55,0.35,1.0,1.7401,3.3812,2.1727,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.6327,0.0,0.4345,0.3,0.1,0.55,0.9491,0.9661,1.195,0.555,0.0,0.2267,0.214,0.1,0.3362,0.096,0.8,0.6154,0.8078,0.4797,0.3764,0.3766,0.1571,0.135,0.1,0.4384
2025-10-24,183,0.3005,0.082,0.3989,183,0.6,0.0,0.6,1.9964,0.0,1.5041,0.6,0.1,0.7,1.9964,1.22,1.7548,0.5,0.05,0.55,1.6636,0.61,1.3788,1.0,0.2,1.2,3.3273,2.44,3.0082,0.5,0.1,0.6,1.6636,1.22,1.5041,0.5,0.05,0.55,1.6636,0.61,1.3788,0.2,0.0,0.2,0.6655,0.0,0.5014,0.3,0.1,0.5,0.9982,1.22,1.2534,0.2,0.05,0.3,0.6655,0.61,0.7521,0.568,0.0,0.1923,0.164,0.0,0.3,0.142,0.8,0.6154,0.8197,0.5351,0.2265,0.1999,-0.0184,0.126,0.2,0.4348
2025-10-25,591,0.2893,0.0897,0.3959,591,0.6,0.4,1.2,2.0737,4.4604,3.0308,0.4,0.2,0.7,1.3825,2.2302,1.7679,0.6,0.2,0.85,2.0737,2.2302,2.1468,0.6,0.4,1.0,2.0737,4.4604,2.5256,0.5,0.3,0.9,1.7281,3.3453,2.2731,0.55,0.2,0.8,1.9009,2.2302,2.0205,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.2,0.3456,1.1151,0.5051,0.15,0.05,0.2,0.5184,0.5575,0.5051,0.496,0.0,0.1468,0.242,0.0,0.3636,0.112,0.8,0.4545,0.819,0.5235,0.2856,0.2734,0.0264,0.151,0.2,0.5169
2025-10-26,364,0.283,0.0522,0.3516,364,0.4,0.0,0.4,1.4136,0.0,1.1375,0.5,0.1,0.6,1.767,1.9158,1.7062,0.75,0.15,0.9,2.6505,2.8737,2.5594,0.6,0.0,0.6,2.1204,0.0,1.7062,0.6,0.1,0.7,2.1204,1.9158,1.9906,0.7,0.1,0.8,2.4738,1.9158,2.275,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.3534,0.0,0.2844,0.2,0.0,0.2,0.7068,0.0,0.5687,0.547,0.0,0.1457,0.25,0.1,0.3626,0.102,0.4,0.5676,0.8571,0.4105,0.3828,0.3702,0.1584,0.102,0.5,0.5405
2025-10-27,91,0.3626,0.1099,0.5385,91,0.8,0.6,1.8,2.2061,5.46,3.3429,0.8,0.3,1.3,2.2061,2.73,2.4143,0.55,0.2,0.9,1.5167,1.82,1.6714,0.8,0.4,1.4,2.2061,3.64,2.6,0.7,0.3,1.2,1.9303,2.73,2.2286,0.55,0.2,0.9,1.5167,1.82,1.6714,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.2758,0.0,0.1857,0.3,0.05,0.35,0.8273,0.455,0.65,0.451,0.0,0.2195,0.264,0.1,0.375,0.099,0.4,0.8889,0.8242,0.5649,0.4353,0.4478,0.1009,0.187,0.5,0.4118
2025-10-28,726,0.3017,0.084,0.4063,726,0.8,0.4,1.2,2.6521,4.7607,2.9532,0.8,0.2,1.0,2.6521,2.3803,2.461,0.7,0.25,1.0,2.3205,2.9754,2.461,0.8,0.4,1.2,2.6521,4.7607,2.9532,0.8,0.3,1.1,2.6521,3.5705,2.7071,0.7,0.25,1.0,2.3205,2.9754,2.461,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.663,0.0,0.4922,0.2,0.05,0.25,0.663,0.5951,0.6153,0.522,0.0,0.1821,0.241,0.0,0.3486,0.105,0.8,0.6711,0.8292,0.5025,0.2928,0.2773,0.0541,0.132,0.2,0.3958
2025-10-29,45,0.3333,0.1333,0.5778,45,0.4,0.2,0.6,1.2,1.5,1.0385,0.6,0.1,0.7,1.8,0.75,1.2115,0.5,0.1,0.65,1.5,0.75,1.125,0.6,0.2,0.8,1.8,1.5,1.3846,0.6,0.1,0.7,1.8,0.75,1.2115,0.55,0.15,0.85,1.65,1.125,1.4712,0.4,0.2,0.8,1.2,1.5,1.3846,0.4,0.2,0.9,1.2,1.5,1.5577,0.35,0.2,0.7,1.05,1.5,1.2115,0.533,0.2,0.25,0.222,0.3,0.5,0.067,0.3,0.6667,0.8889,0.6302,0.261,0.2824,0.2278,0.178,0.2,0.25
2025-10-30,500,0.284,0.07,0.364,500,0.4,0.2,0.6,1.4085,2.8571,1.6484,0.5,0.3,0.8,1.7606,4.2857,2.1978,0.55,0.25,0.85,1.9366,3.5714,2.3352,0.4,0.4,0.8,1.4085,5.7143,2.1978,0.5,0.3,0.8,1.7606,4.2857,2.1978,0.6,0.25,0.85,2.1127,3.5714,2.3352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49,0.0,0.151,0.266,0.0,0.391,0.086,0.6,0.5116,0.866,0.4487,0.3441,0.3374,0.1185,0.158,0.4,0.3924
2025-10-31,134,0.2463,0.0672,0.3433,134,0.6,0.4,1.0,2.4364,5.9556,2.913,0.5,0.4,1.0,2.0303,5.9556,2.913,0.4,0.3,0.85,1.6242,4.4667,2.4761,0.8,0.6,1.6,3.2485,8.9333,4.6609,0.6,0.5,1.2,2.4364,7.4444,3.4957,0.5,0.3,0.95,2.0303,4.4667,2.7674,0.4,0.0,0.4,1.6242,0.0,1.1652,0.2,0.0,0.2,0.8121,0.0,0.5826,0.2,0.0,0.2,0.8121,0.0,0.5826,0.507,0.0,0.1029,0.224,0.0,0.3,0.119,0.8,0.625,0.8806,0.4579,0.3494,0.3519,0.0959,0.149,0.2,0.35
2025-11-01,679,0.2106,0.0486,0.2666,679,0.6,0.0,0.6,2.849,0.0,2.2508,0.5,0.0,0.5,2.3741,0.0,1.8757,0.45,0.05,0.55,2.1367,1.0288,2.0633,0.8,0.0,0.8,3.7986,0.0,3.0011,0.6,0.1,0.8,2.849,2.0576,3.0011,0.45,0.05,0.55,2.1367,1.0288,2.0633,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.1,0.3,0.9497,2.0576,1.1254,0.35,0.05,0.4,1.6619,1.0288,1.5006,0.378,0.0,0.1245,0.387,0.2,0.1749,0.081,0.7,0.4545,0.8527,0.3927,0.2091,0.2015,0.1175,0.153,0.1,0.3846
2025-11-03,502,0.255,0.0498,0.3147,502,0.6,0.2,0.8,2.3531,4.016,2.5418,0.6,0.2,0.8,2.3531,4.016,2.5418,0.6,0.15,0.8,2.3531,3.012,2.5418,0.8,0.2,1.0,3.1375,4.016,3.1772,0.7,0.2,0.9,2.7453,4.016,2.8595,0.65,0.15,0.85,2.5492,3.012,2.7006,0.4,0.0,0.4,1.5688,0.0,1.2709,0.4,0.1,0.6,1.5688,2.008,1.9063,0.35,0.1,0.5,1.3727,2.008,1.5886,0.53,0.0,0.1504,0.243,0.0,0.2541,0.08,0.4,0.5,0.8606,0.3747,0.3014,0.3032,0.149,0.147,0.6,0.5
