bt_date,n_players,field_hit1_rate,field_hit2_rate,field_avg_actual,n_field,top_5_hit1_rate,top_5_hit2_rate,top_5_avg_actual,top_5_lift_hit1,top_5_lift_hit2,top_5_lift_avg,top_10_hit1_rate,top_10_hit2_rate,top_10_avg_actual,top_10_lift_hit1,top_10_lift_hit2,top_10_lift_avg,top_20_hit1_rate,top_20_hit2_rate,top_20_avg_actual,top_20_lift_hit1,top_20_lift_hit2,top_20_lift_avg,v1_top_5_hit1_rate,v1_top_5_hit2_rate,v1_top_5_avg_actual,v1_top_5_lift_hit1,v1_top_5_lift_hit2,v1_top_5_lift_avg,v1_top_10_hit1_rate,v1_top_10_hit2_rate,v1_top_10_avg_actual,v1_top_10_lift_hit1,v1_top_10_lift_hit2,v1_top_10_lift_avg,v1_top_20_hit1_rate,v1_top_20_hit2_rate,v1_top_20_avg_actual,v1_top_20_lift_hit1,v1_top_20_lift_hit2,v1_top_20_lift_avg,std_top_5_hit1_rate,std_top_5_hit2_rate,std_top_5_avg_actual,std_top_5_lift_hit1,std_top_5_lift_hit2,std_top_5_lift_avg,std_top_10_hit1_rate,std_top_10_hit2_rate,std_top_10_avg_actual,std_top_10_lift_hit1,std_top_10_lift_hit2,std_top_10_lift_avg,std_top_20_hit1_rate,std_top_20_hit2_rate,std_top_20_avg_actual,std_top_20_lift_hit1,std_top_20_lift_hit2,std_top_20_lift_avg,bkt_rare_pct_field,bkt_rare_pct_top10,bkt_rare_hit1_rate,bkt_occasional_pct_field,bkt_occasional_pct_top10,bkt_occasional_hit1_rate,bkt_star_pct_field,bkt_star_pct_top10,bkt_star_hit1_rate,calibration_80,mae,spearman_elfies_v2,spearman_elfies_v1,spearman_elfies_standout
2025-11-15,590,0.2288,0.0441,0.2831,590,0.4,0.0,0.4,1.7481,0.0,1.4132,0.3,0.0,0.3,1.3111,0.0,1.0599,0.3,0.0,0.3,1.3111,0.0,1.0599,0.2,0.0,0.2,0.8741,0.0,0.7066,0.3,0.0,0.3,1.3111,0.0,1.0599,0.35,0.0,0.35,1.5296,0.0,1.2365,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.8741,0.0,0.7066,0.15,0.0,0.15,0.6556,0.0,0.5299,0.083,0.1,0.1224,0.885,0.0,0.2337,0.032,0.9,0.3684,0.7814,0.3147,-0.0103,-0.0158,-0.0225
2025-11-16,226,0.2566,0.031,0.2965,226,1.0,0.0,1.0,3.8966,0.0,3.3731,0.7,0.2,0.9,2.7276,6.4571,3.0358,0.5,0.15,0.65,1.9483,4.8429,2.1925,0.6,0.2,0.8,2.3379,6.4571,2.6985,0.6,0.1,0.7,2.3379,3.2286,2.3612,0.6,0.15,0.75,2.3379,4.8429,2.5299,0.4,0.0,0.4,1.5586,0.0,1.3493,0.2,0.0,0.2,0.7793,0.0,0.6746,0.25,0.05,0.3,0.9741,1.6143,1.0119,0.681,0.0,0.1883,0.106,0.0,0.3333,0.212,1.0,0.4375,0.8053,0.3565,0.2648,0.2451,0.092
