bt_date,name,team,opponent,predicted_pts,elfies,actual,hit_1pt,hit_2pt
2025-12-14,Bobby Brink,PHI,CAR,0.5447817460317461,0.12589514038368482,0.0,False,False
2025-12-14,Ryan Shea,PIT,UTA,0.5428398268398269,0.12120606142481262,1.0,True,False
2025-12-14,Jonas Siegenthaler,NJ,VAN,0.5883882275132275,0.11955259945200743,0.0,False,False
2025-12-14,Ty Murchison,PHI,CAR,0.6102484968734969,0.1165460488558302,0.0,False,False
2025-12-14,Sebastian Aho,CAR,PHI,0.5246408730158729,0.11388112784327716,0.0,False,False
2025-12-14,Emil Andrae,PHI,CAR,0.5445972222222222,0.11065485427229341,0.0,False,False
2025-12-14,Arber Xhekaj,MON,EDM,0.48904034391534384,0.10843226263521298,0.0,False,False
2025-12-14,Mattias Ekholm,EDM,MON,0.5492208994708995,0.10322599474929262,0.0,False,False
2025-12-14,Jackson Blake,CAR,PHI,0.5294007936507936,0.0986999984959585,1.0,True,False
2025-12-14,Ryan Graves,PIT,UTA,0.5027678571428571,0.09754740513583719,0.0,False,False
2025-12-14,Josh Anderson,MON,EDM,0.46468055555555554,0.08104507756967316,0.0,False,False
2025-12-14,Adam Engstrom,MON,EDM,0.46468055555555554,0.08104507756967316,0.0,False,False
2025-12-14,Luke Glendening,NJ,VAN,0.4305859788359788,0.07703385438220323,0.0,False,False
2025-12-14,Vladimir Tarasenko,MIN,BOS,0.42148899711399707,0.07603958395543792,0.0,False,False
2025-12-14,Mike Matheson,MON,EDM,0.4688657407407408,0.07069244822587398,0.0,False,False
2025-12-14,Jared Spurgeon,MIN,BOS,0.48684854497354496,0.07057158493758028,1.0,True,False
2025-12-14,Brock Faber,MIN,BOS,0.4704305555555555,0.06683014920411928,2.0,True,True
2025-12-14,Ty Emberson,EDM,MON,0.43941534391534387,0.06497189208533102,0.0,False,False
2025-12-14,Curtis Lazar,EDM,MON,0.4129107142857143,0.05925581904325408,0.0,False,False
2025-12-14,Jordan Martinook,CAR,PHI,0.37231481481481477,0.05831506724121387,0.0,False,False
2025-12-14,Rutger McGroarty,PIT,UTA,0.47002579365079367,0.057382596817247854,1.0,True,False
2025-12-14,Dawson Mercer,NJ,VAN,0.3846150793650794,0.05631022352263832,1.0,True,False
2025-12-14,Zach Bogosian,MIN,BOS,0.370047619047619,0.05364059777561307,0.0,False,False
2025-12-14,Tommy Novak,PIT,UTA,0.43884126984126987,0.04624569977399361,0.0,False,False
2025-12-14,Sean Couturier,PHI,CAR,0.4446195286195285,0.0456349989391733,0.0,False,False
2025-12-14,Trent Frederic,EDM,MON,0.3726574074074074,0.045495481416297424,0.0,False,False
2025-12-14,David Jiricek,MIN,BOS,0.39426984126984127,0.04046719190216641,0.0,False,False
2025-12-14,Daemon Hunt,MIN,BOS,0.3867956349206349,0.03498501677734804,1.0,True,False
2025-12-14,Noah Dobson,MON,EDM,0.3141362433862434,0.03353637241140087,0.0,False,False
2025-12-14,Justin Brazeau,PIT,UTA,0.33632341269841265,0.03223133630010971,2.0,True,True
2025-12-14,Jordan Staal,CAR,PHI,0.3564298340548341,0.03176146545712966,1.0,True,False
2025-12-14,Nikolaj Ehlers,CAR,PHI,0.3564298340548341,0.03176146545712966,0.0,False,False
2025-12-14,Nico Hischier,NJ,VAN,0.3340727513227513,0.030664520371538516,0.0,False,False
2025-12-14,Jalen Chatfield,CAR,PHI,0.35544642857142855,0.030253910978471316,0.0,False,False
2025-12-14,Tyler Pitlick,MIN,BOS,0.38423214285714286,0.03017249250721201,0.0,False,False
2025-12-14,Sean Walker,CAR,PHI,0.350505291005291,0.026609133091290406,1.0,True,False
2025-12-14,Kirill Kaprizov,MIN,BOS,0.350505291005291,0.026609133091290406,3.0,True,True
2025-12-14,Rodrigo Abols,PHI,CAR,0.30174007936507935,0.02488427635746645,0.0,False,False
2025-12-14,Noah Juulsen,PHI,CAR,0.37328092278092273,0.02449764415901853,0.0,False,False
2025-12-14,Matvei Michkov,PHI,CAR,0.3516031746031746,0.02397106093844618,1.0,True,False
2025-12-14,Connor Clifton,PIT,UTA,0.33802777777777776,0.023045538394651042,0.0,False,False
2025-12-14,Mark Jankowski,CAR,PHI,0.23713227513227517,0.018621221383102467,0.0,False,False
2025-12-14,Dougie Hamilton,NJ,VAN,0.2789007936507936,0.017949983415825856,0.0,False,False
2025-12-14,Brenden Dillon,NJ,VAN,0.2789007936507936,0.017949983415825856,0.0,False,False
2025-12-14,Ville Koivunen,PIT,UTA,0.28291035353535354,0.0160806118197693,0.0,False,False
2025-12-14,Adam Henrique,EDM,MON,0.26112688237688236,0.015819169355168056,0.0,False,False
2025-12-14,Nicolas Aube-Kubel,MIN,BOS,0.253146164021164,0.015018953654922703,1.0,True,False
2025-12-14,Nick Seeler,PHI,CAR,0.30970989658489656,0.012374116793015097,0.0,False,False
2025-12-14,William Carrier,CAR,PHI,0.1998399470899471,0.008928033725058833,1.0,True,False
2025-12-14,Matt Boldy,MIN,BOS,0.18854563492063492,0.008423449924786029,2.0,True,True
2025-12-14,Yakov Trenin,MIN,BOS,0.1590734126984127,0.005618988804325648,0.0,False,False
2025-12-14,Matt Kiersted,MIN,BOS,0.2024616402116402,0.004467754087708671,0.0,False,False
2025-12-14,Garnet Hathaway,PHI,CAR,0.16723262385762386,0.004409781801459159,0.0,False,False
2025-12-14,Owen Beck,MON,EDM,0.13790873015873015,0.0036365357098867624,0.0,False,False
2025-12-14,Andrew Mangiapane,EDM,MON,0.1451084656084656,0.002449893718627319,0.0,False,False
2025-12-14,Noah Cates,PHI,CAR,0.12749526862026858,0.0021525267766960405,0.0,False,False
2025-12-14,K'Andre Miller,CAR,PHI,0.13990277777777776,0.001807127589085236,0.0,False,False
2025-12-14,Xavier Parent,NJ,VAN,0.08196428571428571,0.0014672574109104626,0.0,False,False
2025-12-14,David Tomasek,EDM,MON,0.0799047619047619,0.0005872069150952568,0.0,False,False
2025-12-14,Carl Grundstrom,PHI,CAR,0.09242857142857143,0.00044273350360693307,0.0,False,False
2025-12-14,Angus Crookshank,NJ,VAN,0.06096825396825397,0.0003427916556534398,0.0,False,False
2025-12-14,Nikita Grebenkin,PHI,CAR,0.07966269841269842,0.00019495999377165565,0.0,False,False
2025-12-14,Ben Jones,MIN,BOS,0.021638888888888888,6.921774739988822e-05,0.0,False,False
2025-12-14,Riley Stillman,EDM,MON,0.013166666666666667,2.2816017753856907e-05,0.0,False,False
2025-12-14,Quinn Hughes,MIN,BOS,0.005833333333333334,2.7048008454464502e-06,1.0,True,False
2025-12-14,Jacob Markstrom,NJ,VAN,0.0016666666666666668,0.0,0.0,False,False
2025-12-14,Jake Allen,NJ,VAN,0.0,0.0,0.0,False,False
2025-12-14,Calen Addison,NJ,VAN,0.0,0.0,0.0,False,False
2025-12-14,Arseniy Gritsyuk,NJ,VAN,0.0,0.0,0.0,False,False
2025-12-14,Simon Nemec,NJ,VAN,0.0,0.0,0.0,False,False
2025-12-14,Thatcher Demko,VAN,NJ,0.0,0.0,1.0,True,False
2025-12-14,Zeev Buium,VAN,NJ,0.0,0.0,2.0,True,True
2025-12-14,Jake DeBrusk,VAN,NJ,0.0,0.0,1.0,True,False
