target,n_preds,n_with_actual,coverage_10_90,avg_width,sharp_norm,pinball_norm,stability,consistency_score
assists,33679,17920,0.8186941964285714,0.22519790737536277,0.7748020926246373,1.0,0.9280746764660444,91.77704168625671
goals,33679,17920,0.88671875,0.15496523872333023,0.8450347612766698,1.0,0.9457824150072891,91.34011698837298
points,33679,17920,0.7342633928571428,0.30948711646116783,0.8452564417694161,1.0,0.9055195506259468,91.78342447362768
shots_on_goal,33679,17920,0.6512276785714286,1.599699524325501,0.6000751189186248,1.0,0.7151427514193972,79.20278822460986
