target,n_preds,n_with_actual,coverage_10_90,avg_width,sharp_norm,pinball_norm,stability,consistency_score
assists,15308,7119,0.8155639837055766,0.528408759421191,0.47159124057880897,1.0,0.8995078256669005,82.52025612581022
goals,15308,7119,0.8814440230369434,0.34391274837756086,0.6560872516224392,1.0,0.9221401605244911,85.64625823244036
points,15308,7119,0.729456384323641,0.7083050692342728,0.6458474653828636,1.0,0.8709032988521129,85.26271232295268
shots_on_goal,15308,7119,0.5909537856440511,1.7045787082702384,0.5738553229324403,1.0,0.7616979467757837,76.47079058149309
