target,n_preds,n_with_actual,coverage_10_90,avg_width,sharp_norm,pinball_norm,stability,consistency_score
assists,19129,6254,0.7521586184841701,0.03875248867301877,0.9612475113269813,1.0,0.9733987626530114,96.65775770570636
goals,19129,6254,0.7999680204669012,0.02315070022625784,0.9768492997737421,1.0,0.9816844301193843,99.12104411308216
points,19129,6254,0.6344739366805244,0.05451899713660863,0.9727405014316957,1.0,0.9587251667481101,92.14842417765296
shots_on_goal,19129,6254,0.4182922929325232,0.6134920337277342,0.8466269915680664,1.0,0.7754476504135087,77.88497796847801
