target,n_preds,n_with_actual,coverage_10_90,avg_width,sharp_norm,pinball_norm,stability,consistency_score
assists,10112,4197,0.7257564927329044,0.03976095380861286,0.9602390461913871,1.0,0.9720544838303987,95.55797593336179
goals,10112,4197,0.7624493685966166,0.014375931434488195,0.9856240685655118,1.0,0.9856836943590092,97.92353374442011
points,10112,4197,0.5849416249702168,0.05031713904517154,0.9748414304774142,1.0,0.9599330587370686,90.24223850050177
shots_on_goal,10112,4197,0.303550154872528,0.1693577774445295,0.9576605556388676,1.0,0.8942989824647098,77.81481268871424
