target,n_preds,n_with_actual,coverage_10_90,avg_width,sharp_norm,pinball_norm,stability,consistency_score
assists,19319,6656,0.7701322115384616,0.038587544144469514,0.9614124558555305,1.0,0.9713618544286367,97.36128068149073
goals,19319,6656,0.8239182692307693,0.028341713183022824,0.9716582868169772,1.0,0.9783802770030131,97.97682060530867
points,19319,6656,0.6628605769230769,0.05750537140301619,0.9712473142984919,1.0,0.9558898204087681,93.2107407099655
shots_on_goal,19319,6656,0.48978365384615385,0.849606845804045,0.7875982885489887,1.0,0.7473996980927354,78.69329179124317
