target,n_preds,n_with_actual,coverage_10_90,avg_width,sharp_norm,pinball_norm,stability,consistency_score
assists,10623,4235,0.7272727272727273,0.038551395347960815,0.9614486046520392,1.0,0.9726308549773773,95.66067578024403
goals,10623,4235,0.764344746162928,0.014608753116184222,0.9853912468838157,1.0,0.9859360161961221,97.99488741499283
points,10623,4235,0.5886658795749705,0.04946251495933323,0.9752687425203334,1.0,0.9601802373087952,90.40649983169676
shots_on_goal,10623,4235,0.30295159386068476,0.16930321545473553,0.9576741961363161,1.0,0.8956760766631673,77.80505040514856
