target,n_preds,n_with_actual,coverage_10_90,avg_width,sharp_norm,pinball_norm,stability,consistency_score
assists,19572,6566,0.7742918062747487,0.03966521520198261,0.9603347847980174,1.0,0.9703264601390219,97.48498039632068
goals,19572,6566,0.8317088029241547,0.029647803567028383,0.9703521964329717,1.0,0.9775522837949742,97.61773661397271
points,19572,6566,0.6714894913189157,0.059760691886948485,0.9701196540565258,1.0,0.9549655869234043,93.51282514368644
shots_on_goal,19572,6566,0.5155345720377703,0.9327633005259967,0.7668091748685009,1.0,0.7392573888905175,79.018232016471
