target,n_preds,n_with_actual,rmse,coverage_10_90,avg_width,as_of_utc,window_days
assists,19664,6606,0.3189037347286635,0.8407241659886087,0.028944324865873387,2025-12-04,14
goals,19664,6606,0.23538867114891981,0.8496745321399511,0.02016584910049059,2025-12-04,14
points,19664,6606,0.4355071021535407,0.7851912123677787,0.043675327867386544,2025-12-04,14
shots_on_goal,19664,6606,1.0780461692805003,0.7050956061838893,0.6704313344389787,2025-12-04,14
