target,n_preds,n_with_actual,rmse,coverage_10_90,avg_width,as_of_utc,window_days
assists,15145,7844,0.47882537639673034,0.888610102344008,0.36739768334816203,2025-11-11,14
goals,15145,7844,0.35988228400192346,0.9303400462198745,0.24229933490448513,2025-11-11,14
points,15145,7844,0.6249654968692157,0.8292505777484318,0.5099432927587435,2025-11-11,14
shots_on_goal,15145,7844,1.3045055567236252,0.6384285242654342,1.2995584388444348,2025-11-11,14
