target,n_preds,n_with_actual,rmse,coverage_10_90,avg_width,as_of_utc,window_days
assists,17204,5398,0.30993721990604334,0.80306905370844,0.029368500694242558,2025-12-07,14
goals,17204,5398,0.22482400339878186,0.8031271797256452,0.018021841621801832,2025-12-07,14
points,17204,5398,0.4199668141020906,0.7358172518019065,0.04298746701192591,2025-12-07,14
shots_on_goal,17204,5398,1.1052804431742687,0.6317716810044176,0.5003691681471166,2025-12-07,14
