target,n_preds,n_with_actual,coverage_10_90,avg_width,sharp_norm,pinball_norm,stability,consistency_score
assists,9598,4302,0.8200836820083682,0.04270920502092051,0.9572907949790795,1.0,0.9649485759371433,97.56486232840909
goals,9598,4302,0.8879590887959089,0.04486681167120497,0.955133188328795,1.0,0.9699732745790502,94.835364843818
points,9598,4302,0.7422129242212924,0.0719915013185585,0.9640042493407207,1.0,0.9457687266603007,96.06633171567631
shots_on_goal,9598,4302,0.6834030683403068,1.5203744885596355,0.6199063778600911,1.0,0.7029401107814736,80.96271517722975
