target,n_preds,n_with_actual,coverage_10_90,avg_width,sharp_norm,pinball_norm,stability,consistency_score
assists,13553,6750,0.8173333333333334,0.5352228816451039,0.4647771183548961,1.0,0.8983175802591847,82.2331560199054
goals,13553,6750,0.8808888888888889,0.34770362353695694,0.6522963764630431,1.0,0.9211857864861385,85.54519360319712
points,13553,6750,0.7346666666666667,0.7158532697343809,0.6420733651328095,1.0,0.8702726424319167,85.35159404497013
shots_on_goal,13553,6750,0.6035555555555555,1.7120917657239882,0.5719770585690029,1.0,0.7613904248342065,76.91543822763437
