target,n_preds,n_with_actual,coverage_10_90,avg_width,sharp_norm,pinball_norm,stability,consistency_score
assists,8002,3834,0.7258737610850287,0.03666475184850444,0.9633352481514955,1.0,0.9731296739600391,95.66630462754641
goals,8002,3834,0.7610850286906625,0.01376297762458067,0.9862370223754193,1.0,0.9870504814069446,97.90101663295853
points,8002,3834,0.5850286906624935,0.04669733401398641,0.9766513329930068,1.0,0.9628377966392401,90.32906558268235
shots_on_goal,8002,3834,0.30359937402190923,0.17252152449279617,0.956869618876801,1.0,0.8930918352470788,77.78098187965118
