target,n_preds,n_with_actual,rmse,coverage_10_90,avg_width,as_of_utc,window_days
assists,10818,5506,0.39872742475171913,0.6826585320761693,0.03173468434906731,2025-12-22,14
goals,10818,5506,0.2887937715593737,0.680255130338325,0.013512251368939425,2025-12-22,14
points,10818,5506,0.5318830110912937,0.5685893880569421,0.04257580443054757,2025-12-22,14
shots_on_goal,10818,5506,1.3410240314706583,0.39961175818080974,0.13970607992679224,2025-12-22,14
