target,n_preds,n_with_actual,coverage_10_90,avg_width,sharp_norm,pinball_norm,stability,consistency_score
assists,14054,7387,0.8154866657641803,0.5330917320950488,0.4669082679049512,1.0,0.8989294740363292,82.37707614694463
goals,14054,7387,0.8819547854338703,0.34739814455057455,0.6526018554494255,1.0,0.9215158461906487,85.51502270803445
points,14054,7387,0.7308785704616217,0.7147226544194191,0.6426386727902904,1.0,0.8710416800159715,85.22471980233331
shots_on_goal,14054,7387,0.5957763638824963,1.7076308413996246,0.5730922896500938,1.0,0.760873368910082,76.6325569339035
