target,n_preds,n_with_actual,coverage_10_90,avg_width,sharp_norm,pinball_norm,stability,consistency_score
assists,9140,3681,0.7310513447432763,0.030358005774697105,0.969641994225303,1.0,0.9787197623839227,96.11851124032937
goals,9140,3681,0.7707144797609345,0.01149212567796061,0.9885078743220393,1.0,0.9866173348506027,98.34998876860458
points,9140,3681,0.5995653355066558,0.03935734458027707,0.9803213277098615,1.0,0.9664152614673407,91.05640586623548
shots_on_goal,9140,3681,0.2928552023906547,0.13677818886221005,0.9658054527844475,1.0,0.9048433595811547,77.73680527497116
