target,n_preds,n_with_actual,coverage_10_90,avg_width,sharp_norm,pinball_norm,stability,consistency_score
assists,32518,17285,0.8190338443737345,0.23178250204139705,0.768217497958603,1.0,0.9271771271578201,91.55694243538692
goals,32518,17285,0.8866068845820075,0.15915374915317063,0.8408462508468294,1.0,0.9451184857764114,91.2122969998887
points,32518,17285,0.734741105004339,0.31819048078203416,0.8409047596089829,1.0,0.904396244498745,91.66074943343048
shots_on_goal,32518,17285,0.6496384148105293,1.6020747689137915,0.5994813077715522,1.0,0.716034618372306,79.1303220092908
