target,n_preds,n_with_actual,coverage_10_90,avg_width,sharp_norm,pinball_norm,stability,consistency_score
assists,18471,6206,0.7542700612310667,0.038397362921667906,0.961602637078332,1.0,0.972303061175019,96.74191217334283
goals,18471,6206,0.8035771833709313,0.02412436044349323,0.9758756395565068,1.0,0.9808191337954248,98.9413731898122
points,18471,6206,0.6380921688688366,0.05495568550929254,0.9725221572453537,1.0,0.9576483908697613,92.27583538081167
shots_on_goal,18471,6206,0.43038994521430873,0.658399183758384,0.835400204060404,1.0,0.7705197838228441,77.9828017686129
