target,n_preds,n_with_actual,coverage_10_90,avg_width,sharp_norm,pinball_norm,stability,consistency_score
assists,6234,1899,0.7098472880463402,0.03958276356721441,0.9604172364327856,1.0,0.9730980101758854,94.93738871659603
goals,6234,1899,0.756187467087941,0.013087646755682206,0.9869123532443178,1.0,0.9836273816626309,97.69114309747349
points,6234,1899,0.5708267509215377,0.049044048189805255,0.9754779759050973,1.0,0.9613231585431943,89.71064089944637
shots_on_goal,6234,1899,0.3075302790942601,0.17186324748904538,0.9570341881277387,1.0,0.8927538198473554,77.93977500607612
