target,n_preds,n_with_actual,coverage_10_90,avg_width,sharp_norm,pinball_norm,stability,consistency_score
assists,11444,5461,0.7734847097601172,0.017395794987045986,0.982604205012954,1.0,0.9833704512975228,98.25121905376852
goals,11444,5461,0.8223768540560337,0.006570354768258052,0.9934296452317419,1.0,0.98908814691831,98.79869666389402
points,11444,5461,0.665629005676616,0.022707494042091256,0.9886462529789544,1.0,0.9743786089289994,94.02833390572326
shots_on_goal,11444,5461,0.2741256180186779,0.07832161612246082,0.9804195959693848,1.0,0.9243717832491145,77.62133043231981
