target,n_preds,n_with_actual,coverage_10_90,avg_width,sharp_norm,pinball_norm,stability,consistency_score
assists,9307,4714,0.7180738226559186,0.036609436035338255,0.9633905639646617,1.0,0.9786164182155606,95.41083400733221
goals,9307,4714,0.756045820958846,0.014544125697792933,0.985455874302207,1.0,0.9863670439263378,97.6691795066834
points,9307,4714,0.574034789987272,0.04769091787324824,0.9761545410633758,1.0,0.9667258550291238,89.91328638168338
shots_on_goal,9307,4714,0.2993211709800594,0.17402897384519542,0.9564927565387011,1.0,0.8873111652572769,77.54074118793618
