target,n_preds,n_with_actual,coverage_10_90,avg_width,sharp_norm,pinball_norm,stability,consistency_score
assists,10630,3974,0.7252138902868647,0.03965891279318031,0.9603410872068197,1.0,0.9721304326098517,95.54009255377768
goals,10630,3974,0.7611977856064419,0.014102760288502103,0.9858972397114979,1.0,0.9855512025718532,97.88034064132114
points,10630,3974,0.5830397584297936,0.05052001816754746,0.9747399909162263,1.0,0.9597115956939355,90.16090602161788
shots_on_goal,10630,3974,0.303472571716155,0.17091399349418665,0.9572715016264534,1.0,0.8949384305781392,77.8064322232212
