target,n_preds,n_with_actual,coverage_10_90,avg_width,sharp_norm,pinball_norm,stability,consistency_score
assists,11074,5542,0.7214002165283291,0.03843350548542085,0.9615664945145792,1.0,0.9728401650211917,95.43140514678245
goals,11074,5542,0.7609166365932877,0.014060323568384828,0.9859396764316152,1.0,0.9864212925798088,97.87906868247805
points,11074,5542,0.5808372428726092,0.0491712623059419,0.975414368847029,1.0,0.9607625302259659,90.10354608257491
shots_on_goal,11074,5542,0.2991699747383616,0.1715159963233106,0.9571210009191724,1.0,0.8939030164539402,77.61945918164903
