target,n_preds,n_with_actual,rmse,coverage_10_90,avg_width,as_of_utc,window_days
assists,33180,17557,0.4292424878737884,0.8990657022302592,0.15365449029237457,2025-11-18,14
goals,33180,17557,0.3129058973467426,0.9373417721518987,0.10765805106085398,2025-11-18,14
points,33180,17557,0.5635030060341667,0.8494575045207957,0.2189054122991736,2025-11-18,14
shots_on_goal,33180,17557,1.2055193071477917,0.7574743821579265,1.166809411112815,2025-11-18,14
