target,n_preds,n_with_actual,coverage_10_90,avg_width,sharp_norm,pinball_norm,stability,consistency_score
assists,17866,8629,0.8221114845289141,0.3944541493967847,0.6055458506032153,1.0,0.9092623090595507,86.3745392275354
goals,17866,8629,0.8852705991424267,0.26276236906756095,0.7372376309324391,1.0,0.9314774523562119,88.02107948583823
points,17866,8629,0.733341059218913,0.5320552716041765,0.7339723641979117,1.0,0.884122208499503,88.19403537968891
shots_on_goal,17866,8629,0.6122378027581411,1.6534994557276979,0.5866251360680755,1.0,0.740759000445797,77.49585619682588
