target,n_preds,n_with_actual,coverage_10_90,avg_width,sharp_norm,pinball_norm,stability,consistency_score
assists,19062,8533,0.8158912457517872,0.5005089289397271,0.4994910710602729,1.0,0.9009959150993605,83.35904145273032
goals,19062,8533,0.8839798429626158,0.327654127875328,0.672345872124672,1.0,0.9253937792391104,86.06512023762663
points,19062,8533,0.7285831477792101,0.6714965986394559,0.6642517006802721,1.0,0.8747399580188281,85.81827651176485
shots_on_goal,19062,8533,0.5921715692019219,1.683463486687148,0.579134128328213,1.0,0.7573473157270812,76.63435977519408
