target,n_preds,n_with_actual,rmse,coverage_10_90,avg_width,as_of_utc,window_days
assists,8954,4271,0.39225421840968516,0.7687067232521778,0.021772205164600898,2026-01-14,14
goals,8954,4271,0.2833883885046594,0.7767478222023677,0.008889915193109527,2026-01-14,14
points,8954,4271,0.5272483593437163,0.6824882733973643,0.028714132057109654,2026-01-14,14
shots_on_goal,8954,4271,1.2788052764180728,0.32041545677909317,0.09008883428903379,2026-01-14,14
