target,n_preds,n_with_actual,coverage_10_90,avg_width,sharp_norm,pinball_norm,stability,consistency_score
assists,31374,16730,0.8166766288105201,0.16535534683487463,0.8346446531651254,1.0,0.9375730247289812,93.74800468982278
goals,31374,16730,0.8882247459653317,0.11865006546551676,0.8813499345344833,1.0,0.9547386138216988,92.45889433563822
points,31374,16730,0.7347878063359234,0.23259448856251008,0.8837027557187449,1.0,0.9168099393259299,93.07069431825857
shots_on_goal,31374,16730,0.6571428571428571,1.5794419886250435,0.6051395028437392,1.0,0.7083540719890935,79.52344009091739
