target,n_preds,n_with_actual,coverage_10_90,avg_width,sharp_norm,pinball_norm,stability,consistency_score
assists,7874,3442,0.7251597908192912,0.03693861665569605,0.9630613833443039,1.0,0.9767698781967954,95.66593191506871
goals,7874,3442,0.7606042998256828,0.013931540801000147,0.9860684591989999,1.0,0.9863284621768317,97.86951039076563
points,7874,3442,0.5868680999418943,0.048092113523664826,0.9759539432381676,1.0,0.965130448978091,90.4046467846017
shots_on_goal,7874,3442,0.3009877977919814,0.17052163269956203,0.9573695918251095,1.0,0.8902280416458862,77.6628800828914
