target,n_preds,n_with_actual,coverage_10_90,avg_width,sharp_norm,pinball_norm,stability,consistency_score
assists,10271,4864,0.7574013157894737,0.021362167945278142,0.9786378320547219,1.0,0.9817400770505261,97.47258836372585
goals,10271,4864,0.8044819078947368,0.008080368148385536,0.9919196318516145,1.0,0.9883411816989032,99.46172445674797
points,10271,4864,0.6420641447368421,0.02767296006030532,0.9861635199698473,1.0,0.9719455191984768,92.98692658055387
shots_on_goal,10271,4864,0.2791940789473684,0.09468756969685184,0.976328107575787,1.0,0.9183429034216285,77.64103541938464
