target,n_preds,n_with_actual,coverage_10_90,avg_width,sharp_norm,pinball_norm,stability,consistency_score
assists,9961,4241,0.7264796038670125,0.039742230715459514,0.9602577692845404,1.0,0.9725202204436948,95.59211943765365
goals,9961,4241,0.7625560009431738,0.014467454270510717,0.9855325457294892,1.0,0.987105309242402,97.93926950203564
points,9961,4241,0.5866540910162698,0.05003838767016542,0.9749808061649173,1.0,0.9600208429027737,90.31579625462605
shots_on_goal,9961,4241,0.30605989153501534,0.16925307630085548,0.9576867309247862,1.0,0.8944369648953525,77.91736723809773
