target,n_preds,n_with_actual,coverage_10_90,avg_width,sharp_norm,pinball_norm,stability,consistency_score
assists,9545,4510,0.728159645232816,0.03738168724886134,0.9626183127511386,1.0,0.9733599057576835,95.73853424942364
goals,9545,4510,0.7631929046563193,0.014338183816405125,0.9856618161835948,1.0,0.9858010788374519,97.95558146013512
points,9545,4510,0.587139689578714,0.0482230032591146,0.9758884983704427,1.0,0.9617523621482246,90.37976615574408
shots_on_goal,9545,4510,0.30199556541019956,0.17202974252387707,0.9569925643690307,1.0,0.8937874488229479,77.72747403570838
