target,n_preds,n_with_actual,coverage_10_90,avg_width,sharp_norm,pinball_norm,stability,consistency_score
assists,11126,5438,0.8276940051489519,0.1466233281960571,0.8533766718039428,1.0,0.9391492061046075,93.88503200920628
goals,11126,5438,0.893710923133505,0.11244108186366372,0.8875589181363363,1.0,0.959057230885114,92.46890292760104
points,11126,5438,0.751195292386907,0.21198999398705176,0.8940050030064741,1.0,0.9231508208445112,94.09946999411562
shots_on_goal,11126,5438,0.6675248253034204,1.5767033980995917,0.6058241504751021,1.0,0.7124569249806563,80.00028677619645
