target,n_preds,n_with_actual,rmse,coverage_10_90,avg_width,as_of_utc,window_days
assists,11444,5461,0.3869885939059501,0.8217406501223349,0.013469744618095103,2026-01-20,14
goals,11444,5461,0.2807530959845305,0.8370325061167424,0.0056186578819682614,2026-01-20,14
points,11444,5461,0.5219590189226961,0.7534952813701503,0.01797312935279718,2026-01-20,14
shots_on_goal,11444,5461,1.2857349714925588,0.2282418734708144,0.057400055530687395,2026-01-20,14
