target,n_preds,n_with_actual,coverage_10_90,avg_width,sharp_norm,pinball_norm,stability,consistency_score
assists,9144,4126,0.7234609791565682,0.0363521886692026,0.9636478113307974,1.0,0.9786191401663968,95.6340649078506
goals,9144,4126,0.7581192438196801,0.014658919002801316,0.9853410809971986,1.0,0.9861906553187526,97.74690873589068
points,9144,4126,0.5780416868637906,0.047407375676317004,0.9762963121618415,1.0,0.9662371187236991,90.07292802664388
shots_on_goal,9144,4126,0.30053320407174017,0.17299520906722016,0.956751197733195,1.0,0.8870528638535149,77.59439273340061
