target,n_preds,n_with_actual,coverage_10_90,avg_width,sharp_norm,pinball_norm,stability,consistency_score
assists,9223,3537,0.709358213175007,0.038408100244164675,0.9615918997558354,1.0,0.9745852134612084,94.96793765428743
goals,9223,3537,0.7500706813683913,0.01347420268263237,0.9865257973173677,1.0,0.9843681156670954,97.44228233092764
points,9223,3537,0.5736499858637263,0.049078754101612596,0.9754606229491937,1.0,0.9621265708825859,89.83108383185072
shots_on_goal,9223,3537,0.3061916878710772,0.16874577068183913,0.9578135573295402,1.0,0.8956743571363858,77.93881780609316
