target,n_preds,n_with_actual,coverage_10_90,avg_width,sharp_norm,pinball_norm,stability,consistency_score
assists,29332,11726,0.8197168684973563,0.038148727619016165,0.9618512723809838,1.0,0.97162026512324,97.78306608276766
goals,29332,11726,0.8806924782534539,0.03780828790939289,0.9621917120906072,1.0,0.9730770848082755,95.3688230806628
points,29332,11726,0.7363977485928705,0.06361216151854734,0.9681939192407263,1.0,0.9531830315889652,96.03355783682626
shots_on_goal,29332,11726,0.6388367729831145,1.3860364255142317,0.6534908936214421,1.0,0.7021844683627108,80.18004241159494
