target,n_preds,n_with_actual,coverage_10_90,avg_width,sharp_norm,pinball_norm,stability,consistency_score
assists,31614,14810,0.8189061444969615,0.0519159899857064,0.9480840100142935,1.0,0.9614504714801178,97.30077923535151
goals,31614,14810,0.888386225523295,0.04641273324544763,0.9535872667545524,1.0,0.9695887610169253,94.76805659187403
points,31614,14810,0.7405806887238352,0.08121276111164699,0.9593936194441766,1.0,0.9443537165036229,95.84857329731493
shots_on_goal,31614,14810,0.687035786630655,1.5429379638479912,0.6142655090380023,1.0,0.6970846390564409,80.88024312693068
