game_id,team,opponent,player_id,name,date,minutes,points,goals,assists,home_or_away,shots_on_goal,power_play_assists,power_play_goals,goal_tending_goals_against
23995,LA,WPG,30002582,Adrian Kempe,2025-10-11,21,2.0,1.0,1.0,0,6.0,0.0,0.0,0.0
23995,LA,WPG,30000145,Drew Doughty,2025-10-11,22,1.0,0.0,1.0,0,2.0,0.0,0.0,0.0
23995,LA,WPG,30004436,Mikey Anderson,2025-10-11,18,1.0,1.0,0.0,0,2.0,0.0,0.0,0.0
23995,LA,WPG,30000149,Anze Kopitar,2025-10-11,20,1.0,0.0,1.0,0,3.0,0.0,0.0,0.0
23995,LA,WPG,30005610,Andrei Kuzmenko,2025-10-11,20,1.0,0.0,1.0,0,3.0,0.0,0.0,0.0
23995,LA,WPG,30000199,Kevin Fiala,2025-10-11,18,0.0,0.0,0.0,0,5.0,0.0,0.0,0.0
23995,LA,WPG,30000495,Darcy Kuemper,2025-10-11,0,0.0,0.0,0.0,0,0.0,0.0,0.0,3.0
23995,LA,WPG,30004856,Alex Laferriere,2025-10-11,13,0.0,0.0,0.0,0,3.0,0.0,0.0,0.0
23995,LA,WPG,30000818,Joel Armia,2025-10-11,13,0.0,0.0,0.0,0,2.0,0.0,0.0,0.0
23995,LA,WPG,30003236,Trevor Moore,2025-10-11,14,0.0,0.0,0.0,0,2.0,0.0,0.0,0.0
23995,LA,WPG,30000675,Joel Edmundson,2025-10-11,16,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0
23995,LA,WPG,30004994,Brandt Clarke,2025-10-11,18,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0
23995,LA,WPG,30004473,Alex Turcotte,2025-10-11,6,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
23995,LA,WPG,30001424,Phillip Danault,2025-10-11,18,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
23995,LA,WPG,30002611,Warren Foegele,2025-10-11,13,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0
23995,LA,WPG,30004969,Jeff Malott,2025-10-11,6,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
23995,LA,WPG,30000476,Cody Ceci,2025-10-11,15,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
23995,LA,WPG,30000668,Anton Forsberg,2025-10-11,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
23995,LA,WPG,30005039,Samuel Helenius,2025-10-11,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
23995,LA,WPG,30003232,Jacob Moverare,2025-10-11,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
23995,LA,WPG,30000653,Brian Dumoulin,2025-10-11,15,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
23995,LA,WPG,30004798,Quinton Byfield,2025-10-11,19,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0
23995,WPG,LA,30000830,Mark Scheifele,2025-10-11,19,2.0,2.0,0.0,1,3.0,0.0,0.0,0.0
23995,WPG,LA,30003664,Gabriel Vilardi,2025-10-11,19,2.0,0.0,2.0,1,5.0,1.0,0.0,0.0
23995,WPG,LA,30000801,Connor Hellebuyck,2025-10-11,0,0.0,0.0,0.0,1,0.0,0.0,0.0,2.0
23995,WPG,LA,30002772,Kyle Connor,2025-10-11,19,1.0,0.0,1.0,1,4.0,1.0,0.0,0.0
23995,WPG,LA,30000826,Josh Morrissey,2025-10-11,25,1.0,0.0,1.0,1,2.0,0.0,0.0,0.0
23995,WPG,LA,30003588,Alex Iafallo,2025-10-11,16,1.0,1.0,0.0,1,2.0,0.0,1.0,0.0
23995,WPG,LA,30004389,Morgan Barron,2025-10-11,11,1.0,0.0,1.0,1,1.0,0.0,0.0,0.0
23995,WPG,LA,30003603,Neal Pionk,2025-10-11,21,0.0,0.0,0.0,1,2.0,0.0,0.0,0.0
23995,WPG,LA,30003148,Logan Stanley,2025-10-11,17,0.0,0.0,0.0,1,1.0,0.0,0.0,0.0
23995,WPG,LA,30001224,Dylan DeMelo,2025-10-11,23,0.0,0.0,0.0,1,3.0,0.0,0.0,0.0
23995,WPG,LA,30000371,Haydn Fleury,2025-10-11,11,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0
23995,WPG,LA,30001050,Vladislav Namestnikov,2025-10-11,16,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0
23995,WPG,LA,30000522,Nino Niederreiter,2025-10-11,14,0.0,0.0,0.0,1,1.0,0.0,0.0,0.0
23995,WPG,LA,30000153,Tanner Pearson,2025-10-11,12,0.0,0.0,0.0,1,1.0,0.0,0.0,0.0
23995,WPG,LA,30000060,Luke Schenn,2025-10-11,14,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0
23995,WPG,LA,30001036,Gustav Nyquist,2025-10-11,12,0.0,0.0,0.0,1,1.0,0.0,0.0,0.0
23995,WPG,LA,30000872,Jonathan Toews,2025-10-11,15,0.0,0.0,0.0,1,1.0,0.0,0.0,0.0
23995,WPG,LA,30004945,Cole Koepke,2025-10-11,10,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0
23995,WPG,LA,30001061,Eric Comrie,2025-10-11,0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0
23995,WPG,LA,30006030,Parker Ford,2025-10-11,0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0
23995,WPG,LA,30005647,Brad Lambert,2025-10-11,0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0
23995,WPG,LA,30000212,Colin Miller,2025-10-11,0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0
